"name","value.var","comp"
"V12135",-0.0109174221730652,1
"V12132",-0.010822925345609,1
"V35531",-0.0108219771309949,1
"V38333",-0.010814784579035,1
"V35131",-0.0107706637253091,1
"V35832",-0.0107704651351783,1
"V36332",-0.0107681246141878,1
"V38633",-0.0107595247701238,1
"V35227",-0.0107514477265132,1
"V38831",-0.0107500103424514,1
"V35231",-0.0107416983156154,1
"V38433",-0.0107352870682295,1
"V35431",-0.0107258581725166,1
"V36430",-0.0107244501953764,1
"V34932",-0.0107210752606879,1
"V30788",0.0107188858388234,1
"V36031",-0.0107158178886369,1
"V34529",-0.0107127622240782,1
"V36036",-0.0107114219831836,1
"V35732",-0.0107059626756537,1
"V37032",-0.010704543181303,1
"V34632",-0.0107043592943621,1
"V35333",-0.0107037799150325,1
"V37834",-0.0106949922494706,1
"V36435",-0.0106907529552713,1
"V36436",-0.0106810396345902,1
"V37931",-0.0106734785018417,1
"V35833",-0.0106711351977015,1
"V12032",-0.0106692279692151,1
"V36231",-0.0106672115276713,1
"V37431",-0.0106671015984704,1
"V33724",-0.0106608607540609,1
"V36330",-0.0106567728198289,1
"V35528",-0.0106489170400729,1
"V39233",-0.0106416672086218,1
"V39234",-0.0106378907867384,1
"V35535",-0.0106375498194502,1
"V37136",-0.0106360817204794,1
"V38234",-0.0106357512095751,1
"V35332",-0.0106343465273011,1
"V38031",-0.0106292021026336,1
"V37031",-0.0106286216270044,1
"V38034",-0.010627233790048,1
"V35329",-0.0106249920103955,1
"V34832",-0.0106207212913836,1
"V34933",-0.0106189742365467,1
"V10626",-0.0106168129344201,1
"V36033",-0.0106162118121878,1
"V38932",-0.0106159449581487,1
"V35830",-0.01061594438516,1
"V36632",-0.0106154576976297,1
"V11430",-0.0106140643532287,1
"V35331",-0.0106109891520182,1
"V35032",-0.0106097687337334,1
"V39636",-0.0106094835592514,1
"V38336",-0.0106086038220433,1
"V37636",-0.0106082712556177,1
"V39428",-0.0106081879940146,1
"V38432",-0.0106028716582848,1
"V36636",-0.0106026092607021,1
"V36029",-0.0106023532564256,1
"V36228",-0.0106004473597456,1
"V34729",-0.0106000904113298,1
"V39331",-0.010597019520168,1
"V33728",-0.010595501778087,1
"V38332",-0.010593340163363,1
"V37335",-0.0105926119746125,1
"V39933",-0.0105924716148285,1
"V37930",-0.010592247199124,1
"V35232",-0.0105908450047747,1
"V39433",-0.0105895223407865,1
"V39034",-0.0105856426156633,1
"V39237",-0.0105831317412146,1
"V39232",-0.0105782640508376,1
"V33825",-0.0105766933932807,1
"V34029",-0.0105761392389477,1
"V36931",-0.0105757896444055,1
"V11930",-0.0105724494738221,1
