"name","value.var","comp"
"V32325",-0.0160255745087363,1
"V31722",-0.0160174646216665,1
"V32225",-0.0158569570907214,1
"V32525",-0.015754020250345,1
"V32829",-0.0157377312639022,1
"V32527",-0.015720426977467,1
"V31522",-0.0157041471005404,1
"V32425",-0.0156850710418116,1
"V32928",-0.0156828145882866,1
"V31926",-0.0156749551727661,1
"V32122",-0.015630339712139,1
"V32023",-0.0156193826451116,1
"V31321",-0.0156141732903252,1
"V31921",-0.0156120573913238,1
"V32226",-0.0156078088302462,1
"V32125",-0.0156054186410303,1
"V31117",-0.0155930585149461,1
"V31523",-0.0155926154465184,1
"V31120",-0.0155890450341544,1
"V32523",-0.0155709400519447,1
"V31118",-0.0155654491195632,1
"V33433",-0.0155508698629353,1
"V33328",-0.0155448827490517,1
"V32726",-0.0155283653473483,1
"V31925",-0.0155210951083185,1
"V33528",-0.0155143147405559,1
"V33331",-0.0155133501519006,1
"V32827",-0.0155125402395828,1
"V31221",-0.0155077221028804,1
"V32727",-0.0155044106432642,1
"V33026",-0.0154888328140933,1
"V32526",-0.0154749364904542,1
"V32423",-0.0154710474381363,1
"V30818",-0.0154636106050181,1
"V30516",-0.0154566114330042,1
"V32623",-0.015451169096253,1
"V32322",-0.0154506105327586,1
"V32528",-0.0154124033241688,1
"V31721",-0.0154098365489447,1
"V32024",-0.0154085152313663,1
"V32124",-0.0153988905508595,1
"V31824",-0.0153925450688388,1
"V31521",-0.0153853616663845,1
"V32626",-0.0153750198460606,1
"V31923",-0.015371230417892,1
"V31621",-0.015367278228836,1
"V32624",-0.0153634924130021,1
"V31220",-0.0153578244025684,1
"V32629",-0.015355442586544,1
"V33728",-0.0153551107057531,1
"V30918",-0.0153535948986599,1
"V33028",-0.0153497470107361,1
"V33228",-0.0153490354667706,1
"V33025",-0.0153472158170412,1
"V33330",-0.0153405825721728,1
"V31924",-0.01533928777004,1
"V31723",-0.0153357374208776,1
"V32121",-0.0153323259037922,1
"V32021",-0.0153162165268707,1
"V32224",-0.0153100166534089,1
"V32222",-0.0153094315672183,1
"V32927",-0.0153001006940073,1
"V31922",-0.0152871799591126,1
"V30616",-0.0152855430178724,1
"V31821",-0.0152794011134887,1
"V31720",-0.0152782285377859,1
"V30916",-0.015275956847256,1
"V32622",-0.0152706925101765,1
"V30311",-0.0152652046547781,1
"V33932",-0.0152596352017495,1
"V32321",-0.0152506608782229,1
"V33431",-0.0152445560950582,1
"V32930",-0.0152410439764552,1
"V31823",-0.0152371387945793,1
"V31320",-0.0152317579277382,1
"V30614",-0.0152278558279029,1
"V32427",-0.0152272708393716,1
"V31422",-0.0152255438839714,1
"V32725",-0.0152229637336717,1
"V32524",-0.0152210713378483,1
"V32120",-0.0152103813764327,1
"V31518",-0.0152064931912911,1
"V33128",-0.0152040193691279,1
"V33632",-0.0152025518894056,1
"V30613",-0.0152016209290771,1
"V32326",-0.0151994707578149,1
"V31919",-0.0151884364563109,1
"V30915",-0.0151805902707258,1
"V31219",-0.0151795243722741,1
"V32022",-0.0151791382258116,1
"V32926",-0.0151737713043572,1
"V30414",-0.0151727496903554,1
"V33429",-0.0151684564977032,1
"V30814",-0.0151672021441839,1
"V33329",-0.0151639377868323,1
"V31520",-0.0151460172759104,1
"V32625",-0.0151452753329463,1
"V30513",-0.0151378451237957,1
"V33027",-0.0151339774378739,1
"V33427",-0.0151336875047485,1
"V31726",-0.0151311971661533,1
"V30211",-0.0151289092002713,1
"V32426",-0.015126133287285,1
"V32828",-0.0151208110517988,1
"V31826",-0.0151066517840562,1
"V31725",-0.0151063622204076,1
"V31918",-0.0150909446381145,1
"V30312",-0.0150858234284198,1
"V30817",-0.0150855254104494,1
"V31323",-0.0150851706157242,1
"V33529",-0.0150838218671527,1
"V33631",-0.0150820328784156,1
"V31420",-0.0150820043021915,1
"V31920",-0.0150804747273007,1
"V32126",-0.0150788982925644,1
"V32421",-0.0150727792654205,1
"V33428",-0.0150714187680408,1
"V30816",-0.0150714105849459,1
"V31718",-0.0150698807931647,1
"V31822",-0.0150672755053724,1
"V33226",-0.0150642320071481,1
"V31324",-0.0150602350719952,1
"V30917",-0.0150590081505057,1
"V30518",-0.01505540734498,1
"V32221",-0.0150533079478294,1
"V33633",-0.0150495650342209,1
"V32223",-0.0150452841085094,1
"V31018",-0.0150427728393078,1
"V32825",-0.0150367570569484,1
"V31820",-0.0150358048871005,1
"V32127",-0.015035110088062,1
"V31719",-0.0150321871069394,1
"V32020",-0.0150318407973624,1
"V32324",-0.0150287397460946,1
"V33129",-0.0150246840647316,1
"V31322",-0.0150175332512229,1
"V31424",-0.015014922817841,1
"V30714",-0.0150117456694291,1
"V31419",-0.0150104207620523,1
"V32925",-0.0149863980754345,1
"V32025",-0.0149833907458238,1
"V30719",-0.0149782657192049,1
"V31519",-0.0149693757309845,1
"V30717",-0.0149658543328012,1
"V30111",-0.0149626035939133,1
"V30718",-0.0149620361182769,1
"V33930",-0.0149610911120507,1
"V31122",-0.0149593587767035,1
"V31415",-0.0149579364957189,1
"V33126",-0.0149547249984201,1
"V31319",-0.0149541189994982,1
"V31416",-0.0149520478174588,1
"V33833",-0.0149486534554907,1
"V32721",-0.0149480087884501,1
"V33629",-0.0149442712424672,1
"V30716",-0.0149425874141902,1
"V33130",-0.0149421664163337,1
"V32422",-0.0149405177564511,1
"V33732",-0.0149399881403035,1
"V33828",-0.0149378335997671,1
"V32128",-0.0149370938912088,1
"V33332",-0.0149353078809483,1
"V32729",-0.0149338561359481,1
"V31625",-0.0149312553071814,1
"V31622",-0.0149231940185525,1
"V32323",-0.0149200209020621,1
"V32627",-0.0149101625471013,1
"V33630",-0.0149091595662112,1
"V31418",-0.0149089140001443,1
"V32424",-0.0149080972361038,1
"V32830",-0.0149078774056435,1
"V33127",-0.0149045570071462,1
"V31421",-0.0149041471100337,1
"V31218",-0.0149036784720807,1
"V30415",-0.0149029918774912,1
"V33430",-0.0148969089172119,1
"V32520",-0.0148954304666776,1
"V33727",-0.0148847636861379,1
"V31525",-0.0148785782203175,1
"V30919",-0.0148702965864482,1
"V33131",-0.0148692557976937,1
"V30713",-0.0148684207431235,1
"V33628",-0.0148607619732814,1
"V30618",-0.0148560846778052,1
"V30611",-0.0148510067281009,1
"V33229",-0.0148506399010389,1
"V32521",-0.0148366028913654,1
"V30819",-0.0148336680710984,1
"V33029",-0.0148326772443688,1
"V32123",-0.0148323869169795,1
"V30113",-0.0148311109946301,1
"V32420",-0.0148138888565729,1
"V33527",-0.0148121606539694,1
"V32728",-0.0148104056137959,1
"V30920",-0.0148063746430569,1
"V30110",-0.014803880701826,1
"V32824",-0.0147992075534974,1
"V30313",-0.0147975787535817,1
"V31618",-0.0147920315773445,1
"V31020",-0.0147846690190113,1
"V32119",-0.0147835388884162,1
"V31019",-0.0147730541153955,1
"V31316",-0.0147621236322567,1
"V31222",-0.0147580554774603,1
"V31623",-0.0147514241991542,1
"V31816",-0.0147489071258395,1
"V31318",-0.0147484406427161,1
"V32328",-0.0147463710024069,1
"V33327",-0.0147457447676939,1
"V30720",-0.0147453313173989,1
"V31619",-0.0147426039150336,1
"V32621",-0.0147367153938268,1
"V32220",-0.0147333219802141,1
"V33829",-0.0147326939219479,1
"V30515",-0.0147223898688257,1
"V32227",-0.0147210019521991,1
"V33225",-0.0147200906841563,1
"V30914",-0.0147191042373122,1
"V31017",-0.0147108768542379,1
"V33232",-0.0147098369749235,1
"V31217",-0.0147095198236724,1
"V31015",-0.0147053002622793,1
"V32019",-0.0147032827540922,1
"V32826",-0.0146963172792952,1
"V33125",-0.0146943251311493,1
"V33526",-0.0146941936010584,1
"V33227",-0.0146915998540405,1
"V30011",-0.014690927669873,1
"V31021",-0.0146887753167369,1
"V33530",-0.0146882758124476,1
"V32630",-0.0146845564830586,1
"V31524",-0.0146823225261307,1
"V31013",-0.0146802848889416,1
"V32923",-0.0146798265153495,1
"V30417",-0.0146795289350494,1
"V31113",-0.0146786784518557,1
"V32219",-0.0146785116045029,1
"V30410",-0.0146745583221731,1
"V31022",-0.014668350279432,1
"V32720",-0.0146677721490822,1
"V33024",-0.0146639853637218,1
"V33731",-0.0146633399222177,1
"V30214",-0.0146610082089309,1
"V33831",-0.0146606817720735,1
"V32228",-0.0146594605315849,1
"V31417",-0.0146561881642051,1
"V31516",-0.014652156781363,1
"V30008",-0.0146514217730229,1
"V31817",-0.0146477441636596,1
"V31825",-0.0146447877634354,1
"V34435",-0.0146435429169647,1
"V31620",-0.0146434432227361,1
"V34234",-0.0146422926814143,1
"V31119",-0.0146412538430976,1
"V33230",-0.0146362760902504,1
"V32429",-0.0146358430209933,1
"V31724",-0.0146340605452448,1
"V33023",-0.0146269989911737,1
"V30921",-0.0146239115567124,1
"V30514",-0.0146226651039369,1
"V30416",-0.0146215664535364,1
"V30315",-0.0146185502123302,1
"V33031",-0.0146149718365647,1
"V30615",-0.0146110165000507,1
"V33231",-0.0146103043163184,1
"V32924",-0.0146085069907085,1
"V30411",-0.014606038544762,1
"V31819",-0.0146021211477222,1
"V32823",-0.0145999017127191,1
"V30316",-0.0145997534931521,1
"V33929",-0.0145965738653517,1
"V34031",-0.0145964672477077,1
"V31617",-0.0145961706413992,1
"V31214",-0.0145952918361958,1
"V31016",-0.0145947532045753,1
"V30215",-0.0145890821730115,1
"V30216",-0.0145813912628189,1
"V30617",-0.0145782298845681,1
"V34233",-0.0145718277488741,1
"V31517",-0.0145716710015156,1
"V33032",-0.0145710337457765,1
"V30314",-0.0145682714062441,1
"V31216",-0.0145638215232245,1
"V30413",-0.014555245386345,1
"V30013",-0.0145511698696796,1
"V33224",-0.0145504828981025,1
"V31317",-0.0145495510583704,1
"V32519",-0.0145489216649312,1
"V31023",-0.0145461043516272,1
"V34134",-0.0145452172931201,1
"V30519",-0.0145436269932005,1
"V33931",-0.0145425056285441,1
"V30612",-0.0145415362355059,1
"V33233",-0.014541091413612,1
"V31917",-0.01453640636491,1
"V32724",-0.0145315830148019,1
"V30821",-0.0145302595205948,1
"V34035",-0.014529089361202,1
"V31818",-0.0145285796593182,1
"V33726",-0.0145255914873102,1
"V31116",-0.0145246085782417,1
"V30418",-0.0145221211585775,1
"V31114",-0.0145181825494911,1
"V30512",-0.0145162177729294,1
"V33022",-0.0145157000551255,1
"V30412",-0.0145146026366469,1
"V31715",-0.0145109841371491,1
"V33532",-0.0145101017499135,1
"V32522",-0.0145083380555125,1
"V30610",-0.014508294296206,1
"V32026",-0.0145075116142948,1
"V30408",-0.0145046124258118,1
"V30815",-0.0145044612022502,1
"V30711",-0.0144994911576517,1
"V33933",-0.0144902039640229,1
"V30012",-0.0144888438140085,1
"V32822",-0.0144852074322825,1
"V31717",-0.0144809064194317,1
"V31423",-0.0144798950608074,1
"V32229",-0.014474649613766,1
"V34232",-0.0144721561687609,1
"V30510",-0.0144700788355126,1
"V32320",-0.0144670287020104,1
"V33830",-0.0144606290615221,1
"V33733",-0.0144600515051074,1
"V34132",-0.0144585038338366,1
"V30812",-0.0144578434908042,1
"V30820",-0.0144565115126726,1
"V31515",-0.0144562632814282,1
"V34230",-0.0144478876231046,1
"V30511",-0.014437987678198,1
"V31215",-0.0144350694409698,1
"V34136",-0.0144266201516316,1
"V32317",-0.0144250669742511,1
"V31716",-0.0144204816404337,1
"V33626",-0.0144190734611825,1
"V32319",-0.0144172119595539,1
"V33030",-0.0144150383332651,1
"V33326",-0.014410675554024,1
"V30210",-0.0144056863911113,1
"V32932",-0.0144042008756009,1
"V32620",-0.0144025718492216,1
"V34030",-0.0143980381607067,1
"V33730",-0.0143953735537119,1
"V31815",-0.0143940581259804,1
"V31616",-0.0143871551750939,1
"V33124",-0.0143871465879855,1
"V30014",-0.0143797672907504,1
"V34332",-0.0143755459105119,1
"V30006",-0.0143666790633722,1
"V33533",-0.0143663754811517,1
"V30310",-0.0143586455612023,1
"V30405",-0.0143538436290738,1
"V30016",-0.0143455178295789,1
"V32027",-0.0143388700678842,1
"V31624",-0.0143372769776035,1
"V32018",-0.0143352002472897,1
"V30309",-0.0143343183550165,1
"V30209",-0.014332983608137,1
"V34131",-0.014331226850084,1
"V33934",-0.0143261634949826,1
"V34034",-0.0143251131435657,1
"V30112",-0.0143233117052921,1
"V30217",-0.0143227249794596,1
"V30108",-0.0143177655153567,1
"V32929",-0.0143128023980508,1
"V32628",-0.0143120328885101,1
"V34432",-0.0143106856927107,1
"V33432",-0.0143037677389265,1
"V30109",-0.0143024572403514,1
"V30911",-0.0142960858693092,1
"V30811",-0.0142940144511947,1
"V34637",-0.0142920044201504,1
"V34133",-0.0142917567856043,1
"V32921",-0.0142914132566586,1
"V32730",-0.0142901820562724,1
"V32529",-0.014282787134103,1
"V30117",-0.0142803637118807,1
"V31115",-0.0142787878713278,1
"V30712",-0.0142777249672121,1
"V32428",-0.0142775500548398,1
"V30207",-0.0142765554447163,1
"V33729",-0.0142762053238116,1
"V32922",-0.0142761070389449,1
"V33123",-0.0142746051933156,1
"V34130",-0.014273787083197,1
"V31014",-0.0142726464890873,1
"V30115",-0.0142712115747411,1
"V34331",-0.0142696349179948,1
"V32731",-0.014268851942109,1
"V33825",-0.0142656435325588,1
"V31213",-0.0142618209200861,1
"V32821",-0.0142587270761385,1
"V33323",-0.0142566038726212,1
"V30508",-0.0142565661611175,1
"V33333",-0.0142522113783007,1
"V32217",-0.0142460450293838,1
"V30319",-0.0142452012140137,1
"V33627",-0.0142410089010289,1
"V33927",-0.014238388778444,1
"V30619",-0.014237077114261,1
"V33634",-0.0142355443062674,1
"V30010",-0.0142343926777495,1
"V30114",-0.0142332119533624,1
"V33132",-0.0142330780236698,1
"V30517",-0.0142288398304903,1
"V33928",-0.0142271518282707,1
"V30715",-0.0142245010592852,1
"V34029",-0.0142190626446262,1
"V33324",-0.0142143296435914,1
"V30307",-0.0142139944897079,1
"V31314",-0.0142101800783028,1
"V33835",-0.0142051092264465,1
"V34033",-0.0142046394248684,1
"V31121",-0.0142040816175589,1
"V32530",-0.0142003992933133,1
"V34129",-0.0141975526144332,1
"V30107",-0.0141899467553088,1
"V31916",-0.0141887223592277,1
"V30206",-0.014187046493091,1
"V30308",-0.0141864642554308,1
"V31123",-0.0141803252631362,1
"V30007",-0.0141762369082849,1
"V30213",-0.0141716910522361,1
"V30208",-0.0141703020480779,1
"V32820",-0.0141641580880308,1
"V30710",-0.0141595846562789,1
"V30607",-0.0141569681191052,1
"V30520",-0.0141544018565841,1
"V34334",-0.0141482122153082,1
"V33936",-0.0141457114793736,1
"V30212",-0.0141433929673403,1
"V30822",-0.0141356032356807,1
"V30015",-0.014128169440014,1
"V31224",-0.0141188145544952,1
"V31615",-0.0141119158258237,1
"V32116",-0.014107719233228,1
"V33425",-0.0141069892629369,1
