"name","value.var","comp"
"V36533",-0.0127215128090322,1
"V36330",-0.0126857073299531,1
"V35531",-0.012664784767668,1
"V36231",-0.0126611355451461,1
"V35830",-0.0126329229884593,1
"V35229",-0.0126205391454305,1
"V38332",-0.0126131980664432,1
"V35227",-0.012606007853622,1
"V35630",-0.0125997342200154,1
"V36632",-0.0125986802566756,1
"V36029",-0.0125984430293291,1
"V36129",-0.0125885347903858,1
"V35626",-0.0125883071283678,1
"V36529",-0.0125880022015258,1
"V36031",-0.0125833074360257,1
"V36332",-0.0125768066177782,1
"V34529",-0.0125767587968641,1
"V36131",-0.012574750929814,1
"V35930",-0.012569719283408,1
"V35925",-0.0125652860705349,1
"V37431",-0.0125541181597112,1
"V34424",-0.0125530226105295,1
"V35226",-0.0125448088153555,1
"V37030",-0.012544114420829,1
"V34226",-0.0125432458924712,1
"V35528",-0.0125403396325374,1
"V35524",-0.012540224199754,1
"V35831",-0.0125364617781079,1
"V36229",-0.0125344253879024,1
"V37029",-0.0125334358638862,1
"V36032",-0.0125331732507008,1
"V36731",-0.0125328631639321,1
"V35326",-0.0125310887856641,1
"V36931",-0.0125299370205432,1
"V35325",-0.0125282651367887,1
"V37031",-0.0125263993881435,1
"V35024",-0.0125170207604434,1
"V36431",-0.0125169025529789,1
"V35030",-0.0125149618721653,1
"V34426",-0.0125145489664122,1
"V35128",-0.012508521266964,1
"V35832",-0.0125075427068385,1
"V35928",-0.0125019543358004,1
"V35431",-0.0125014236563064,1
"V35131",-0.012499861637406,1
"V34829",-0.012498491186171,1
"V35731",-0.0124982238049767,1
"V37834",-0.0124968312380358,1
"V35931",-0.0124959866267682,1
"V36430",-0.0124946028218522,1
"V34726",-0.0124917948935877,1
"V34225",-0.0124913538464877,1
"V35028",-0.012491351644303,1
"V34324",-0.012491126437504,1
"V33724",-0.0124869851409069,1
"V36733",-0.0124858806746538,1
"V36830",-0.0124832594458845,1
"V34123",-0.0124832126288214,1
"V34326",-0.0124820022782981,1
"V35129",-0.0124807475570869,1
"V36929",-0.0124803244933928,1
"V36232",-0.0124800726682333,1
"V37136",-0.012479021616189,1
"V37032",-0.0124788265795388,1
"V35529",-0.0124781530518859,1
"V34425",-0.0124776048232203,1
"V36333",-0.0124745474863742,1
"V36132",-0.0124722329984427,1
"V37536",-0.0124696340065232,1
"V37331",-0.0124636487700327,1
"V35525",-0.0124535303358727,1
"V37832",-0.0124530237052144,1
"V35430",-0.0124524531933131,1
"V36834",-0.0124506984614654,1
"V35126",-0.0124502365781896,1
"V37129",-0.0124492880707358,1
"V36930",-0.0124480099648836,1
"V35629",-0.0124469681539573,1
"V35530",-0.0124431723919969,1
"V35225",-0.0124415694469675,1
"V35429",-0.0124412617993612,1
"V35631",-0.0124411082262964,1
"V36127",-0.0124400243953918,1
"V35428",-0.0124398715987333,1
"V34328",-0.0124361054093519,1
"V35327",-0.0124352059571569,1
"V38230",-0.0124340739214823,1
"V35330",-0.0124313870867689,1
"V37131",-0.0124292313891177,1
"V38336",-0.012429003681671,1
"V35827",-0.0124280722880222,1
"V35732",-0.0124259201189223,1
"V35828",-0.01242520676647,1
"V36234",-0.0124250746310026,1
"V38333",-0.0124245857461345,1
"V36327",-0.0124209741819114,1
"V36030",-0.0124207780242135,1
"V36228",-0.0124196341368206,1
"V36028",-0.0124194074918888,1
"V35230",-0.0124173773885583,1
"V34623",-0.0124163070351465,1
"V36130",-0.0124151006586214,1
"V35628",-0.0124146330638653,1
"V34520",-0.012413755515668,1
"V36230",-0.0124127261089407,1
"V35826",-0.0124112417536227,1
"V34626",-0.0124109214477119,1
"V37033",-0.0124101822565888,1
"V35730",-0.0124093477560406,1
"V36631",-0.0124058135337573,1
"V36331",-0.0124051697220693,1
"V34729",-0.0124043017390317,1
"V38035",-0.0124018124878952,1
"V35422",-0.0124007462456537,1
"V36936",-0.0123998871101061,1
"V35231",-0.0123994001679831,1
"V36033",-0.0123991439943529,1
"V37335",-0.0123974364460612,1
"V36329",-0.0123915315039013,1
"V36628",-0.0123906009884557,1
"V37426",-0.0123900701637291,1
"V34825",-0.0123898397433927,1
"V35124",-0.0123885538173117,1
"V34223",-0.012388053696992,1
"V36432",-0.0123874840419933,1
"V36828",-0.0123871490402178,1
"V38231",-0.0123868934900391,1
"V35624",-0.0123865600971089,1
"V38234",-0.0123865435884055,1
"V35328",-0.0123859564512239,1
"V37133",-0.0123851816542557,1
"V36134",-0.0123841440829876,1
"V37831",-0.0123838556308244,1
"V37234",-0.0123827912333875,1
"V38433",-0.0123768119769319,1
"V37434",-0.0123763038488679,1
"V36027",-0.0123742656580981,1
"V37034",-0.0123734362837702,1
"V35625",-0.0123730986810332,1
"V35623",-0.0123725432437358,1
"V38134",-0.0123699405779425,1
"V34524",-0.0123695389089072,1
"V35929",-0.0123668847817335,1
"V36832",-0.0123656141821649,1
"V37132",-0.0123649343673227,1
"V35728",-0.0123647685937634,1
"V38432",-0.0123635245751686,1
"V35725",-0.0123635092129098,1
"V35729",-0.0123633957613816,1
"V38031",-0.0123615687726336,1
"V33520",-0.0123614153124735,1
"V36233",-0.0123612476561092,1
"V36935",-0.0123612449863141,1
"V37526",-0.0123593771942123,1
"V34924",-0.0123593332919387,1
"V35634",-0.0123573794623742,1
"V35924",-0.012357102780036,1
"V37332",-0.012356491007769,1
"V35727",-0.0123562330897439,1
"V35223",-0.012352772047496,1
"V36434",-0.0123522295863938,1
"V36626",-0.0123522045394965,1
"V34727",-0.0123480539245682,1
"V36435",-0.0123479816190491,1
"V33726",-0.0123475605266644,1
"V35127",-0.0123470869661543,1
"V36732",-0.0123449030128271,1
"V34625",-0.0123439370105871,1
"V33316",-0.0123436606103949,1
"V35329",-0.0123428782805031,1
"V33420",-0.0123425716417467,1
"V33425",-0.012338714472389,1
"V36224",-0.0123382453976735,1
"V37533",-0.0123373427379816,1
"V37134",-0.0123368653098531,1
"V37328",-0.0123359407555198,1
"V35333",-0.0123355925229377,1
"V38334",-0.0123341605649635,1
"V35527",-0.012333894478486,1
"V35221",-0.012333888944684,1
"V34526",-0.0123332916364746,1
"V34824",-0.0123330865490484,1
"V37634",-0.0123328387907057,1
"V36528",-0.0123326703070258,1
"V38330",-0.0123326582202968,1
"V35027",-0.0123326487910505,1
"V33523",-0.012329656555062,1
"V35125",-0.0123293396600253,1
"V34224",-0.0123275503922494,1
"V37931",-0.0123274314432986,1
"V35122",-0.0123273414775752,1
"V37231",-0.0123246422401847,1
"V34518",-0.0123245752769847,1
"V34621",-0.0123241224876903,1
"V38633",-0.012322100898285,1
"V35633",-0.0123220870615248,1
"V36530",-0.0123215411820946,1
"V35535",-0.012320868293096,1
"V33419",-0.0123207983212266,1
"V33918",-0.0123202004710677,1
"V34721",-0.0123196929104492,1
"V33721",-0.012319373067289,1
"V38036",-0.012317009720067,1
"V36128",-0.0123167944682648,1
"V35526",-0.0123159648733795,1
"V36425",-0.0123152587492222,1
"V36326",-0.0123131875310252,1
"V37229",-0.0123119398935334,1
"V34521",-0.0123113415340503,1
"V37636",-0.0123113150988631,1
"V34523",-0.0123099589154856,1
"V37235",-0.0123097281881159,1
"V36829",-0.0123090675339703,1
"V37035",-0.0123088846026059,1
"V34525",-0.0123081955601088,1
"V37630",-0.0123059583443525,1
"V34933",-0.012305556156959,1
"V35021",-0.0123050644055105,1
"V38235",-0.0123038219490667,1
"V34725",-0.0123027846373808,1
"V35627",-0.0123004350058265,1
"V34932",-0.0123003251589774,1
"V36532",-0.0122998430260529,1
"V34822",-0.0122996624330563,1
"V34323",-0.0122994618028081,1
"V36831",-0.0122988277573983,1
"V36933",-0.0122976564531678,1
"V35120",-0.0122971622497652,1
"V34828",-0.0122962996951293,1
"V38034",-0.0122956851819964,1
"V34827",-0.0122935606571409,1
"V35332",-0.0122911295658067,1
"V35032",-0.0122898943665709,1
