"name","value.var","comp"
"V32003",-0.0138402523339121,1
"V39428",-0.013764542540372,1
"V35925",-0.0137494432321283,1
"V33420",-0.0137335555575408,1
"V33316",-0.0137311099369956,1
"V35320",-0.0137087116863437,1
"V37526",-0.0136895668869063,1
"V36224",-0.0136791006460963,1
"V39129",-0.0136741414689433,1
"V34424",-0.0136658169364172,1
"V33523",-0.0136637390476057,1
"V39525",-0.0136528215891829,1
"V35625",-0.0136469557455035,1
"V33612",-0.0136468728454477,1
"V33219",-0.0136465230518822,1
"V36321",-0.0136446520131336,1
"V36525",-0.0136432302087694,1
"V38126",-0.0136389851994036,1
"V32317",-0.0136327805202061,1
"V33313",-0.0136303342919403,1
"V33016",-0.0136272384721263,1
"V32812",-0.0136253254706226,1
"V35621",-0.0136220178930709,1
"V33520",-0.0136214311502293,1
"V33315",-0.0136179483593966,1
"V32213",-0.0136156862058601,1
"V38222",-0.0136139951429977,1
"V33218",-0.0136096849862167,1
"V38620",-0.0136074208738113,1
"V34324",-0.0136057308283688,1
"V33119",-0.0136034406904882,1
"V35226",-0.0136015571325045,1
"V34518",-0.0135991781520016,1
"V39326",-0.0135960909144365,1
"V33515",-0.0135937853183419,1
"V34721",-0.0135927640386149,1
"V35826",-0.0135898602151088,1
"V38025",-0.0135876015015429,1
"V33021",-0.0135859986970146,1
"V33724",-0.0135798268805268,1
"V32211",-0.0135764332475623,1
"V34320",-0.0135735680061788,1
"V33519",-0.0135718730414593,1
"V34224",-0.0135716056536902,1
"V38321",-0.0135715857087347,1
"V33418",-0.0135703223335531,1
"V34225",-0.0135636031702418,1
"V34425",-0.0135631512314607,1
"V34326",-0.0135510807397595,1
"V39728",-0.0135509475263557,1
"V39228",-0.0135407758957798,1
"V35227",-0.0135360778340866,1
"V35326",-0.0135359686766712,1
"V34124",-0.0135352970964248,1
"V39828",-0.0135330466534814,1
"V35624",-0.0135328478528141,1
"V35020",-0.0135290027687683,1
"V33112",-0.013528516138078,1
"V34824",-0.0135269101910932,1
"V38024",-0.0135248196275851,1
"V32910",-0.0135208953216592,1
"V38828",-0.0135164850860427,1
"V37328",-0.0135154050273292,1
"V38726",-0.0135145052289039,1
"V35524",-0.0135129911509564,1
"V32917",-0.013512180193779,1
"V34620",-0.0135110644307369,1
"V36520",-0.0135076162488069,1
"V34123",-0.013500305974458,1
"V35023",-0.0134996061787445,1
"V34720",-0.0134978869610737,1
"V35223",-0.0134967858260636,1
"V33216",-0.0134961581157132,1
"V35824",-0.01349397462005,1
"V36626",-0.0134935770701361,1
"V37831",-0.0134923071473107,1
"V32717",-0.0134888880499816,1
"V35229",-0.0134875767459948,1
"V37725",-0.0134872831223761,1
"V39128",-0.0134866697237397,1
"V31907",-0.0134853419198342,1
"V35920",-0.0134850604867877,1
"V34625",-0.013484889352096,1
"V39223",-0.0134827896032347,1
"V37724",-0.0134820299403488,1
"V34223",-0.0134817829668262,1
"V34525",-0.0134816642486826,1
"V33825",-0.0134810871132899,1
"V34924",-0.0134795356655829,1
"V31601",-0.0134782418611057,1
"V32111",-0.0134774008195218,1
"V38825",-0.0134750875996446,1
"V39131",-0.0134737838823549,1
"V34520",-0.0134736822589937,1
"V33822",-0.0134705152470544,1
"V35725",-0.0134682576962133,1
"V34119",-0.0134664856643861,1
"V34727",-0.0134654320883504,1
"V38824",-0.0134648571842938,1
"V32819",-0.0134644553800649,1
"V34619",-0.0134613528557651,1
"V33721",-0.0134613225599596,1
"V35120",-0.0134589547337254,1
"V33720",-0.013454478659815,1
"V33922",-0.0134535811602503,1
"V34216",-0.013452145675537,1
"V35220",-0.0134520899047661,1
"V34818",-0.0134509432066242,1
"V37525",-0.0134508464335857,1
"V37023",-0.0134469011244006,1
"V36725",-0.0134464326919447,1
"V38325",-0.0134451908795632,1
"V37618",-0.0134431889794365,1
"V39526",-0.0134411762712619,1
"V33926",-0.0134410025293018,1
