"name","value.var","comp"
"V33828",-0.015194590487262,1
"V34425",-0.0151610916220498,1
"V33726",-0.0151544465496087,1
"V34324",-0.0151495627715781,1
"V33927",-0.0151440692603626,1
"V33523",-0.0151425337430297,1
"V33425",-0.0151276129861372,1
"V33121",-0.0151240741226603,1
"V34226",-0.0151165551551498,1
"V35030",-0.0150929146668578,1
"V34326",-0.015088408496943,1
"V32721",-0.0150805115625664,1
"V32819",-0.0150796686176872,1
"V34529",-0.0150730888663269,1
"V37431",-0.0150470044455126,1
"V32822",-0.0150332130308812,1
"V33724",-0.0150279852327111,1
"V39329",-0.0150078037558802,1
"V33226",-0.0150013212303013,1
"V39129",-0.0149985514887443,1
"V32621",-0.0149950370746458,1
"V33825",-0.0149893270803992,1
"V39525",-0.0149867717476402,1
"V37426",-0.0149801127429949,1
"V34426",-0.0149707290664514,1
"V39428",-0.0149700553984705,1
"V38727",-0.014968813466309,1
"V38332",-0.0149620585981503,1
"V34424",-0.0149609369188917,1
"V33420",-0.0149608088620214,1
"V34729",-0.014958335250567,1
"V39828",-0.0149578997743356,1
"V33728",-0.0149454341646718,1
"V34328",-0.0149447637960826,1
"V34223",-0.0149399943277537,1
"V38929",-0.014938304463434,1
"V37526",-0.0149292454425473,1
"V38432",-0.0149271983778795,1
"V34123",-0.014920546236238,1
"V36529",-0.0149199057239911,1
"V33427",-0.0149169744104118,1
"V33522",-0.0149167753833708,1
"V33725",-0.0149159108723655,1
"V32622",-0.0149154865932678,1
"V38633",-0.0149114746043494,1
"V33926",-0.0149113042411336,1
"V33727",-0.01490845394472,1
"V35531",-0.014904971748737,1
"V37831",-0.0149048271343309,1
"V33022",-0.0149029737213539,1
"V39227",-0.0149019033218131,1
"V33824",-0.0148968610855771,1
"V34225",-0.0148955684142009,1
"V36330",-0.0148919149385196,1
"V32519",-0.0148918160962971,1
"V36231",-0.0148875811016508,1
"V35431",-0.014883752891305,1
"V35227",-0.0148829125654871,1
"V33025",-0.014882407316419,1
"V38230",-0.0148813413884437,1
"V33224",-0.014879863843328,1
"V33323",-0.0148777297413236,1
"V34829",-0.0148771393531193,1
"V32421",-0.0148758482001202,1
"V35128",-0.0148752442997023,1
"V37029",-0.0148711221171424,1
"V32717",-0.0148670580481236,1
"V35226",-0.0148655463959404,1
"V33123",-0.0148655378118921,1
"V36731",-0.0148625562847225,1
"V33528",-0.0148603593600854,1
"V34025",-0.0148589245127213,1
"V39927",-0.0148530920164109,1
"V32720",-0.0148496214129147,1
"V36031",-0.0148457792085161,1
"V37030",-0.0148454813757639,1
"V35528",-0.0148401265287472,1
"V34430",-0.0148393855976897,1
"V37328",-0.0148390460793155,1
"V34429",-0.0148322137330199,1
"V35229",-0.0148315532773984,1
"V37725",-0.0148288849032622,1
"V33124",-0.0148252615764327,1
"V37025",-0.014823823314484,1
"V33625",-0.0148232107111529,1
"V35126",-0.0148199305459301,1
"V33225",-0.0148192149649997,1
"V32523",-0.0148186216756609,1
"V39830",-0.0148184167825083,1
"V38330",-0.014817494995404,1
"V38927",-0.0148156223775908,1
"V35231",-0.0148154380264101,1
"V35024",-0.0148137962091461,1
"V33125",-0.0148130752950295,1
"V32020",-0.0148126092743985,1
"V33320",-0.0148111719022268,1
"V37926",-0.0148093659807386,1
"V35830",-0.0148082760300491,1
"V34027",-0.0148082666915303,1
"V32319",-0.014802911942375,1
"V36929",-0.0148025591929694,1
"V38333",-0.0148008927677297,1
"V38128",-0.0148007166485275,1
"V37331",-0.0147990536756019,1
"V34932",-0.014798781511577,1
"V35326",-0.0147949708659227,1
"V37031",-0.0147926906619204,1
"V36228",-0.014790463211926,1
"V33421",-0.0147863044218294,1
"V35329",-0.0147818389463281,1
"V32317",-0.014779001190534,1
"V33324",-0.0147782972401406,1
"V33322",-0.0147778434537448,1
"V37229",-0.0147770234519693,1
"V32922",-0.0147763075364988,1
"V32620",-0.0147758238109241,1
"V38126",-0.0147755061676873,1
"V34825",-0.0147748167523674,1
"V35325",-0.0147741879827173,1
"V33827",-0.0147724592521703,1
"V35626",-0.0147707302379093,1
"V35225",-0.0147704323598269,1
"V33922",-0.0147695630757667,1
"V39226",-0.0147687798117626,1
"V39728",-0.0147686381219735,1
"V34224",-0.0147670936426997,1
"V34730",-0.0147652956490417,1
"V38329",-0.0147639080851634,1
"V34524",-0.0147630368857016,1
"V33925",-0.0147600075648689,1
"V38628",-0.0147591910251308,1
"V38631",-0.0147581013766581,1
"V36628",-0.0147571173615088,1
"V37226",-0.0147556350844267,1
"V35925",-0.0147530101980775,1
"V32925",-0.0147524325717787,1
"V35232",-0.0147515488423055,1
"V34230",-0.0147499167251253,1
"V38726",-0.0147494874714319,1
"V34531",-0.0147489728849762,1
"V35129",-0.0147488027010977,1
"V34623",-0.0147486209642146,1
"V35333",-0.0147473794171639,1
"V35327",-0.014747294318201,1
"V35330",-0.0147467798693773,1
"V35731",-0.014745026852695,1
"V38632",-0.0147448579652283,1
"V37525",-0.0147432579987772,1
"V33424",-0.0147409079789696,1
"V35028",-0.0147405531221354,1
"V32219",-0.0147398497320481,1
"V32719",-0.014739282755125,1
"V35524",-0.0147371696986467,1
"V36224",-0.0147363179728745,1
"V35529",-0.0147348771131519,1
"V34627",-0.0147342526330053,1
"V39631",-0.0147331097355125,1
"V34130",-0.0147300346851937,1
"V33520",-0.0147293906249157,1
"V34626",-0.0147287585066595,1
"V35428",-0.0147246977091314,1
"V33024",-0.0147233370194472,1
"V37729",-0.0147217558032545,1
"V36733",-0.0147214415438544,1
"V34726",-0.0147211087772544,1
"V32521",-0.01472087932345,1
"V36931",-0.0147200250316788,1
"V33316",-0.014719817401076,1
"V37931",-0.014719660540123,1
"V33527",-0.0147194754042172,1
"V34526",-0.0147187302531739,1
"V37530",-0.0147181062826913,1
"V35429",-0.0147171307216161,1
"V35623",-0.0147161839637805,1
"V34727",-0.0147160885344903,1
"V32216",-0.0147130490558041,1
"V34126",-0.0147124517572576,1
"V37832",-0.0147122272474334,1
"V35131",-0.0147118281537509,1
"V33423",-0.0147103506357482,1
"V38428",-0.0147102187448411,1
"V32917",-0.0147075335331224,1
"V36626",-0.0147072230514988,1
"V36829",-0.0147063965707645,1
"V36029",-0.0147063821764859,1
"V34528",-0.0147061308401121,1
"V35631",-0.0147054082119366,1
"V39532",-0.0147038267669307,1
"V34022",-0.0147021727311112,1
"V33219",-0.0147016397691052,1
"V39330",-0.0147013031767251,1
"V39131",-0.0146997748388671,1
"V33317",-0.0146995683485765,1
"V38027",-0.0146987643612184,1
"V38231",-0.0146984971536523,1
"V34830",-0.0146980535577146,1
"V36430",-0.0146956385183844,1
"V32623",-0.0146931965739635,1
"V38528",-0.0146921000179581,1
"V35328",-0.0146911724584077,1
"V38031",-0.0146906916143624,1
"V39034",-0.0146898305689582,1
"V33623",-0.0146893179942775,1
"V36533",-0.0146882850040149,1
"V32821",-0.014686430854955,1
"V32420",-0.0146853375266181,1
"V39229",-0.0146839275529472,1
"V34625",-0.0146838126213641,1
"V33018",-0.014682435204017,1
"V32116",-0.0146817953464072,1
"V39128",-0.0146809856122014,1
"V33720",-0.0146802763842419,1
"V36028",-0.0146794860219997,1
"V32923",-0.0146791435895808,1
"V35928",-0.0146748753958149,1
"V31712",-0.0146746558723968,1
"V33721",-0.0146739973289144,1
"V31715",-0.014673995843563,1
"V35630",-0.0146739148859642,1
"V33021",-0.0146738915202836,1
"V39831",-0.0146733134814745,1
"V37834",-0.014672551297609,1
"V37626",-0.0146711540236108,1
"V34724",-0.0146710535959566,1
"V37028",-0.0146710517167023,1
"V38526",-0.0146705755356086,1
"V35125",-0.014669850687486,1
"V38132",-0.0146684000904499,1
"V35331",-0.0146682656065087,1
"V33923",-0.0146678539211184,1
"V36924",-0.014666579774278,1
"V39829",-0.0146641863934231,1
"V35430",-0.0146634228469158,1
"V35332",-0.0146626093523674,1
"V38030",-0.0146625471046427,1
"V38529",-0.0146608577380055,1
"V36930",-0.0146604919916712,1
"V33722",-0.0146601767590559,1
"V37529",-0.0146590721275619,1
"V32614",-0.0146579240726293,1
"V33419",-0.0146578072634013,1
"V34728",-0.0146561888478862,1
