"name","value.var","comp"
"V10219",-0.0114819992840241,1
"V10322",-0.0114265646327699,1
"V720",-0.0113991747888107,1
"V1627",-0.011375242550895,1
"V618",-0.0113389356902185,1
"V10325",-0.0113227573064279,1
"V12134",-0.0113156083850117,1
"V718",-0.0113009545124417,1
"V216",-0.0112920926201569,1
"V721",-0.0112766161625044,1
"V10421",-0.011253349635921,1
"V2325",-0.0112514991846935,1
"V1828",-0.0112496961812457,1
"V1020",-0.0112470712084838,1
"V10723",-0.0112357737905262,1
"V10626",-0.0112069123930714,1
"V218",-0.0112002967750135,1
"V822",-0.0111691280742872,1
"V1124",-0.0111505765967585,1
"V11524",-0.0111284043152253,1
"V213",-0.0111001049294256,1
"V12132",-0.0110962097268315,1
"V221",-0.0110936100918062,1
"V10619",-0.0110875833018308,1
"V621",-0.0110857239536462,1
"V719",-0.0110747690557922,1
"V622",-0.011072921021574,1
"V414",-0.0110665470574212,1
"V19",-0.0110606157528704,1
"V10522",-0.0110604665634212,1
"V10622",-0.0110592306767956,1
"V12032",-0.0110462460254008,1
"V319",-0.0110300017186219,1
"V314",-0.0110278784813609,1
"V12031",-0.0110165313815905,1
"V1426",-0.0110163387403525,1
"V15",-0.0110128018166058,1
"V10623",-0.0110118262248746,1
"V11226",-0.0110102717118825,1
"V1120",-0.0110094667568548,1
"V2429",-0.0110068931764999,1
"V10217",-0.0109948210542681,1
"V1226",-0.0109921533226652,1
"V1520",-0.0109909676118486,1
"V13337",-0.0109906134487772,1
"V1325",-0.010981792765256,1
"V1624",-0.0109756330310953,1
"V1223",-0.0109669964550351,1
"V210",-0.0109621320224256,1
"V921",-0.0109610755937893,1
"V11827",-0.0109601180037394,1
"V119",-0.0109559023378846,1
"V11430",-0.0109490589421591,1
"V2829",-0.0109473706541767,1
"V11424",-0.0109450647746215,1
"V10615",-0.0109424773029591,1
"V220",-0.0109422291558148,1
"V118",-0.0109392893631772,1
"V10014",-0.0109379747498715,1
"V12732",-0.0109347893960873,1
"V10520",-0.0109286616068559,1
"V1219",-0.0109280002142376,1
"V1421",-0.0109223697176805,1
"V10722",-0.0109218104052173,1
"V1521",-0.0109207823919703,1
"V10724",-0.0109180244313563,1
"V12635",-0.0109156797481731,1
"V10323",-0.0109110124752684,1
"V1825",-0.010907379894463,1
"V10022",-0.0109069745765684,1
"V522",-0.0109044713055042,1
"V11224",-0.0109036290147069,1
"V11019",-0.0109034303193793,1
"V913",-0.0109015496000551,1
"V2533",-0.0109013944950271,1
"V1526",-0.010898164898889,1
"V1117",-0.0108977065751779,1
"V617",-0.0108963033500651,1
"V10314",-0.0108929625372434,1
"V10115",-0.0108907140136147,1
"V1324",-0.0108806461689541,1
"V12033",-0.0108803642946542,1
"V12027",-0.0108787257891452,1
"V10422",-0.0108784725411184,1
"V13938",-0.0108748794599494,1
"V11329",-0.0108737876391718,1
"V11826",-0.0108724793124235,1
"V10012",-0.0108707479067735,1
"V10726",-0.0108700365726527,1
"V12630",-0.0108670426514376,1
"V12529",-0.0108668564839424,1
"V410",-0.0108662403471631,1
"V13739",-0.0108645190452323,1
"V11623",-0.0108630708458517,1
"V821",-0.0108610926470293,1
"V2428",-0.0108608694428468,1
"V624",-0.0108600039999272,1
"V1523",-0.0108583217238102,1
"V1024",-0.0108535202752296,1
"V2126",-0.0108516210642637,1
"V17",-0.0108499399826914,1
"V520",-0.0108495905670748,1
"V217",-0.0108471591260532,1
"V11930",-0.0108455496755443,1
"V1221",-0.0108443086536571,1
"V11528",-0.0108426777649249,1
"V819",-0.0108419555054497,1
"V420",-0.0108379000901614,1
"V12129",-0.0108345385547887,1
"V10820",-0.010834501312395,1
"V10524",-0.0108327666040855,1
"V219",-0.0108319421986739,1
"V13638",-0.0108286738453439,1
"V418",-0.01082807211462,1
"V614",-0.0108215181478189,1
"V1121",-0.0108142521981661,1
"V10725",-0.0108131046568522,1
"V10921",-0.0108095972046734,1
"V1728",-0.0108049670677931,1
"V1023",-0.0108043655624861,1
"V10220",-0.0107963036102145,1
"V513",-0.0107930892400828,1
"V10020",-0.0107927754982547,1
"V11629",-0.0107925847516348,1
"V11326",-0.0107918570391807,1
"V12629",-0.0107916888236413,1
"V316",-0.0107913042801403,1
"V12533",-0.010788515590237,1
"V12125",-0.0107855329929132,1
"V1321",-0.0107835874150826,1
"V12932",-0.0107760931337833,1
"V10121",-0.0107748198946711,1
"V2030",-0.0107741872944389,1
"V10426",-0.0107731569370137,1
"V11225",-0.0107730436618178,1
"V1016",-0.0107699864428608,1
"V315",-0.010769361555943,1
"V1118",-0.0107688781021759,1
"V2031",-0.0107682190889656,1
"V12836",-0.0107669986516874,1
"V820",-0.0107658892761293,1
"V10516",-0.010764974164794,1
"V616",-0.0107642324032011,1
"V12936",-0.0107620953931259,1
"V12131",-0.010760450381186,1
"V1626",-0.0107600180333825,1
"V13835",-0.0107577265899843,1
"V625",-0.0107566952335321,1
"V318",-0.0107566782167778,1
"V11729",-0.0107550457295492,1
"V12528",-0.0107497898651846,1
"V10721",-0.0107471937168621,1
