"name","value.var","comp"
"V33427",-0.011483706029311,1
"V33728",-0.0114568679352125,1
"V33927",-0.0114198645067059,1
"V34426",-0.0113397528583688,1
"V33323",-0.0113340199619677,1
"V33724",-0.0113107838989179,1
"V34425",-0.0113093594669049,1
"V33224",-0.0113092593042042,1
"V35531",-0.0113070342673363,1
"V37328",-0.0113034910417281,1
"V33527",-0.0112939807751022,1
"V33528",-0.0112892579218095,1
"V33926",-0.0112820300053292,1
"V34225",-0.0112699052347012,1
"V37032",-0.0112695723153042,1
"V32721",-0.0112683341403745,1
"V38332",-0.011266347747084,1
"V34524",-0.0112647053380667,1
"V34829",-0.0112576342529431,1
"V32319",-0.0112557269801479,1
"V33827",-0.0112552868635875,1
"V35327",-0.0112550423830765,1
"V34430",-0.0112514396142203,1
"V33225",-0.0112505222078406,1
"V34325",-0.0112500137450282,1
"V33825",-0.0112490581719434,1
"V34130",-0.0112478667305509,1
"V33420",-0.0112466077122632,1
"V34332",-0.0112463750657457,1
"V39828",-0.0112452227980273,1
"V35631",-0.0112419119074433,1
"V36330",-0.0112404521679557,1
"V32219",-0.0112393567493115,1
"V32622",-0.0112348897151881,1
"V33523",-0.0112345041894346,1
"V35126",-0.0112328934316163,1
"V33624",-0.0112284912145582,1
"V34230",-0.0112277325016361,1
"V33226",-0.0112247915630774,1
"V35333",-0.0112245308489017,1
"V35528",-0.011222201301431,1
"V34326",-0.0112204335490878,1
"V32519",-0.0112174326989956,1
"V34529",-0.0112172093839487,1
"V34428",-0.0112162229491486,1
"V34727",-0.0112155613134901,1
"V36231",-0.011213712551631,1
"V35827",-0.0112136359471396,1
"V34223",-0.0112113196463758,1
"V34027",-0.0112092467867907,1
"V35830",-0.0112078551515027,1
"V35030",-0.0112070190003283,1
"V35231",-0.0112054943193607,1
"V33128",-0.0111988554689737,1
"V34128",-0.0111983684410999,1
"V33824",-0.0111975500279762,1
"V34424",-0.0111966434870167,1
"V35925",-0.0111964678746433,1
"V32315",-0.0111959949690084,1
"V38231",-0.0111922755095513,1
"V32624",-0.0111894497094454,1
"V33025",-0.0111866687733704,1
"V35227",-0.0111863269578755,1
"V37831",-0.0111861935423559,1
"V36733",-0.0111830631749549,1
"V36430",-0.0111829710215044,1
"V34229",-0.0111815065835154,1
"V31601",-0.0111809693376848,1
"V32822",-0.0111749713708792,1
"V32521",-0.0111699209494587,1
"V35229",-0.0111685005060537,1
"V35831",-0.0111679363114398,1
"V35131",-0.0111661436749168,1
"V35226",-0.0111632771958022,1
"V36031",-0.0111625474125334,1
"V33022",-0.011161682765156,1
"V39533",-0.0111614458257901,1
"V34830",-0.011159162222811,1
"V37030",-0.0111575743123542,1
"V33924",-0.0111567532941781,1
"V34328",-0.0111566422377312,1
"V32620",-0.0111561328823275,1
"V33829",-0.011155996960319,1
"V34729",-0.0111558450279792,1
"V34824",-0.0111550741139313,1
"V33421",-0.0111528419016295,1
"V33126",-0.0111508604469966,1
"V35525",-0.0111494222062082,1
"V35529",-0.0111493304985892,1
"V31919",-0.0111490802173511,1
"V32523",-0.0111464591717443,1
"V33425",-0.0111461463028276,1
"V34022",-0.0111388090004873,1
"V35429",-0.0111379715487756,1
"V33023",-0.0111362353063792,1
"V31712",-0.0111341000358162,1
"V37031",-0.0111337213931485,1
"V32221",-0.0111321804360951,1
"V33828",-0.0111288041433738,1
"V31715",-0.0111282129981275,1
"V33125",-0.0111277629917414,1
"V34728",-0.0111271306271503,1
"V35028",-0.0111270740673835,1
"V35331",-0.0111268641727703,1
"V35928",-0.0111263552204262,1
"V34226",-0.0111261970672575,1
"V32720",-0.0111249720796165,1
"V32910",-0.0111236465265657,1
"V33931",-0.0111235739698288,1
"V34532",-0.0111222311942405,1
"V37331",-0.0111221711905867,1
"V36529",-0.0111215008948398,1
"V34429",-0.0111199294897029,1
"V35931",-0.0111194652444451,1
"V35630",-0.0111181713939633,1
"V32321",-0.0111178415734715,1
"V33021",-0.0111169878707175,1
"V34623",-0.0111160035758862,1
"V34222",-0.0111150766460817,1
"V34632",-0.0111118372224111,1
"V32921",-0.0111115201687967,1
"V38230",-0.0111106727717735,1
"V33120",-0.0111106323215635,1
"V32614",-0.0111081812905019,1
"V32520",-0.0111076507536953,1
"V36731",-0.0111072280942485,1
"V31816",-0.0111070931663492,1
"V33026",-0.0111049861674345,1
"V33424",-0.0111046224094421,1
"V38929",-0.0111037166254812,1
"V36029",-0.0111033815630277,1
"V35729",-0.0111032254292886,1
"V32623",-0.0111027235767577,1
"V32421",-0.0111025949675404,1
"V36132",-0.0111018739934047,1
"V33428",-0.0110994697959794,1
"V32908",-0.0110972573629508,1
"V31904",-0.0110970062725673,1
"V33119",-0.0110968840816229,1
"V35428",-0.0110958893906419,1
"V33930",-0.0110953327471914,1
"V33017",-0.0110935699953487,1
"V32925",-0.0110887872412464,1
"V34724",-0.0110887802838595,1
"V33727",-0.0110885838251071,1
"V33123",-0.0110881013157444,1
"V38333",-0.0110859218665419,1
"V32504",-0.0110856036047311,1
"V33121",-0.0110853003545578,1
"V32607",-0.0110848208190464,1
"V34526",-0.0110847015728204,1
"V32812",-0.0110838392682168,1
"V38128",-0.0110802055641434,1
"V35326",-0.0110801562661556,1
"V32917",-0.0110786007702432,1
"V35626",-0.0110781207171983,1
"V32923",-0.0110772003976677,1
"V39329",-0.0110760304567211,1
"V36931",-0.0110757831698709,1
"V32807",-0.0110752670040193,1
"V35927",-0.0110725873664322,1
"V31905",-0.0110721843002606,1
"V39232",-0.0110720089532276,1
"V38428",-0.011071568765199,1
"V34525",-0.0110711244419044,1
"V32621",-0.0110692021804865,1
"V32718",-0.0110672061759403,1
"V37129",-0.0110671690143983,1
"V32719",-0.0110670040381992,1
"V32420",-0.0110653736240004,1
"V34324",-0.0110645163800003,1
"V32827",-0.0110644817332494,1
"V35625",-0.0110631965178289,1
"V31513",-0.0110629787262733,1
"V34523",-0.0110619977117569,1
"V35225",-0.0110615912584533,1
"V37725",-0.0110609988774959,1
"V31403",-0.0110607277812213,1
"V33324",-0.0110603162308259,1
"V32322",-0.0110602532415167,1
"V33822",-0.011059559371547,1
"V34228",-0.0110592246937888,1
"V33520",-0.0110591603380887,1
"V36131",-0.0110591148720894,1
"V33723",-0.0110585222551652,1
"V33925",-0.0110572568963911,1
"V35733",-0.0110565761007063,1
"V33629",-0.0110562799930202,1
"V33612",-0.0110559673473078,1
"V34224",-0.0110553935960362,1
"V32414",-0.0110542373736538,1
"V36333",-0.0110541093788548,1
"V31921",-0.0110533946241349,1
"V35431",-0.0110516417598439,1
"V36632",-0.0110513767486317,1
"V38528",-0.0110505687276455,1
"V38636",-0.0110498496534554,1
"V33726",-0.0110490965997863,1
"V36028",-0.0110488447504741,1
"V34721",-0.0110485580482917,1
"V32609",-0.0110484232806993,1
"V37029",-0.0110475305925166,1
"V34026",-0.0110449076804599,1
"V33223",-0.0110446922316526,1
"V34725",-0.011044691626647,1
"V32824",-0.0110426619504019,1
"V35829",-0.0110426537653085,1
"V37626",-0.0110420108041265,1
"V34029",-0.0110411972954184,1
"V36234",-0.0110403901300602,1
"V33526",-0.0110401537407648,1
"V38330",-0.0110401362434221,1
"V39332",-0.0110401162069656,1
"V35129",-0.0110385778321415,1
"V32003",-0.0110373676671209,1
"V35427",-0.0110362312627618,1
"V34123",-0.0110354963096334,1
"V38631",-0.0110349797314116,1
"V31704",-0.0110348674443863,1
"V33932",-0.0110345173376803,1
"V34825",-0.0110341019583409,1
"V34726",-0.0110333274014385,1
"V38833",-0.0110320173031389,1
"V34330",-0.0110308512855938,1
"V37136",-0.0110304780833287,1
"V33720",-0.011030397231473,1
"V33124",-0.0110291995988186,1
"V37525",-0.01102799194174,1
"V38932",-0.0110278525857526,1
"V33923",-0.0110276629808714,1
"V32716",-0.0110276010150102,1
"V39434",-0.011027385888609,1
"V32220",-0.0110272797238847,1
"V39634",-0.0110272332294129,1
"V31405",-0.0110264857328999,1
"V37131",-0.0110257419643443,1
"V35332",-0.0110252895605832,1
"V32823",-0.0110249351795766,1
"V35524",-0.0110244130616349,1
"V35328",-0.0110238976557338,1
"V38433",-0.011020782107893,1
"V39330",-0.0110202539865394,1
"V34126",-0.0110202408260015,1
"V35930",-0.0110199685482,1
"V33419",-0.0110199220957662,1
"V35128",-0.0110195034865832,1
"V31604",-0.0110191839844192,1
"V33315",-0.0110186498880351,1
