"name","value.var","comp"
"V11659",-0.0203709743733373,1
"V38299",-0.0197723642166233,1
"V10455",-0.0197325432404785,1
"V11051",-0.0193049635269829,1
"V38098",-0.0192425347865541,1
"V38695",-0.0191986774565456,1
"V10653",-0.0190674507660574,1
"V11255",-0.0190100191497548,1
"V10359",-0.0189543796015914,1
"V10651",-0.0189276125805916,1
"V11850",-0.0188747706064012,1
"V10658",-0.0188058621141603,1
"V10260",-0.0187827690569447,1
"V11655",-0.0187491758846507,1
"V10657",-0.0186921579183877,1
"V10254",-0.0186161230560591,1
"V39500",-0.0185942866862516,1
"V39499",-0.0185873528412758,1
"V10364",-0.0185700705278876,1
"V10652",-0.0185355732761365,1
"V10640",-0.0185092638619921,1
"V39399",-0.018502205712918,1
"V37398",-0.0184449979011815,1
"V11064",-0.0184054491096552,1
"V38397",-0.0183612005710437,1
"V11152",-0.0183466888820352,1
"V39497",-0.0183312929606587,1
"V38700",-0.0183301330291831,1
"V11351",-0.0182403888221123,1
"V10358",-0.0182229752266345,1
"V39000",-0.0182150122262777,1
"V10655",-0.0181879923397695,1
"V39400",-0.0181827118587695,1
"V38200",-0.0181670749568323,1
"V38798",-0.0181273586233016,1
"V10861",-0.0181122519792895,1
"V10459",-0.0181004715902257,1
"V11652",-0.0180861215318868,1
"V10654",-0.0180527958811538,1
"V11356",-0.0180476837329072,1
"V11046",-0.0180366377835021,1
"V38691",-0.0179675107298204,1
"V39397",-0.0179650351521691,1
"V10244",-0.0179568936177025,1
"V10557",-0.0179357284489549,1
"V35700",-0.0179265564833914,1
"V38499",-0.017910661564387,1
"V11953",-0.0179012115941796,1
"V11347",-0.0178970565361293,1
"V10356",-0.0178915185754772,1
"V10748",-0.0178827516537233,1
"V10452",-0.0178427638125602,1
"V10453",-0.0178239446738393,1
"V38096",-0.0178159820848671,1
"V10852",-0.0177983982147311,1
"V10561",-0.0177955790310216,1
"V39595",-0.0177931626951319,1
"V10349",-0.0177593416238582,1
"V39900",-0.0177526013938942,1
"V10847",-0.0177423493426238,1
"V38898",-0.0177400571847546,1
"V10052",-0.0177291612857132,1
"V38600",-0.0177158210901234,1
"V11654",-0.0177011428148851,1
"V39895",-0.0176987479752437,1
"V11048",-0.0176878255270023,1
"V11163",-0.0176809828766479,1
"V39300",-0.0176369696481557,1
"V38900",-0.0176240545189614,1
"V10756",-0.0176177346370583,1
"V11157",-0.0175805047793586,1
"V38800",-0.0175735047656609,1
"V37900",-0.0175279107913041,1
"V37399",-0.0174992539301217,1
"V11665",-0.0174930671978728,1
"V11254",-0.0174802297613506,1
"V11556",-0.0174697695160142,1
"V11555",-0.0174593542973278,1
"V10263",-0.0174592106839201,1
"V39694",-0.017445416659945,1
"V10251",-0.0174406637477419,1
"V10553",-0.017426074630596,1
"V10663",-0.0174145367883292,1
"V38300",-0.017409817276961,1
"V10551",-0.0174080340967174,1
"V11354",-0.0174064419985704,1
"V11560",-0.0174043280193143,1
"V10548",-0.0173986799160714,1
"V10659",-0.0173765912458037,1
"V37600",-0.0173639864591254,1
"V11252",-0.0173390101759016,1
"V11150",-0.0173375124369607,1
"V11558",-0.0173336855899128,1
"V36700",-0.0173171163918849,1
"V10462",-0.017312892772431,1
"V10856",-0.0173028683000003,1
"V10447",-0.0172956788879794,1
"V11960",-0.01727344000419,1
"V11661",-0.0172366831069198,1
"V10354",-0.0172305556098593,1
"V10849",-0.0172210544074208,1
"V11256",-0.0172187421179755,1
"V10755",-0.017217628498805,1
"V38598",-0.0172129226151161,1
"V10662",-0.01720070544425,1
"V37000",-0.0171914084380809,1
"V11757",-0.017188098211925,1
"V10253",-0.017186256433821,1
"V39890",-0.0171797216471694,1
"V38093",-0.0171778609092187,1
"V12055",-0.0171758132794686,1
"V10257",-0.0171614786663493,1
"V10461",-0.0171603644235937,1
"V11751",-0.0171555324679996,1
"V38694",-0.0171536715388008,1
"V38099",-0.0171296686796858,1
"V11549",-0.0171197979485115,1
"V39897",-0.0171163513991384,1
"V10649",-0.0171146320083919,1
"V37895",-0.017113123544968,1
"V11454",-0.0171093782464692,1
"V39393",-0.0170979052504362,1
"V38689",-0.0170904312531925,1
"V10850",-0.0170816911302519,1
"V37995",-0.0170721846001634,1
"V11159",-0.017069796049401,1
"V11760",-0.0170583823577029,1
"V10549",-0.017052199615433,1
"V134380",-0.017046254846763,1
"V38796",-0.017043327950565,1
"V10360",-0.0170419865474514,1
"V37998",-0.0170324761188933,1
"V11656",-0.0170245950399663,1
